Date,Hour,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  ,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  ,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  ,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  ,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  ,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  
02/26,16,0.04,-0.02,0.0,226.6,0.0,66.2,1.2,66.5,0,209,0.0,1.2,0.0,0.0,29,29,2,10y0d,100,0,0,64,56  ,0.07,0.09,0.0,238.0,0.0,65.9,2.7,66.5,0,206,0.0,1.0,0.0,0.0,29,29,2,10y0d,100,0,15,72,81  ,0.13,0.02,0.0,218.4,0.0,59.0,2.1,66.5,0,166,0.0,1.0,0.0,0.0,30,30,1,10y0d,100,0,35,72,84  ,-0.01,0.01,0.0,208.6,0.0,53.8,1.7,66.5,0,502,0.0,0.2,0.0,0.0,30,30,1,10y0d,100,0,0,43,60  ,0.01,0.00,0.0,189.4,0.0,53.3,1.2,66.5,0,440,0.0,0.3,0.0,0.0,31,31,0,10y0d,100,0,23,57,82  ,-0.02,-0.04,0.0,191.6,0.0,53.9,0.8,66.5,0,630,0.0,0.3,0.0,0.0,31,31,0,10y0d,100,0,0,51,69  
02/26,11,0.00,-0.06,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,19,19,0,10y0d,99,0,0,0,0  ,0.07,0.11,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,19,19,0,10y0d,99,0,11,0,11  ,0.09,0.00,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,19,19,0,10y0d,99,0,26,0,26  ,-0.01,0.01,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,19,19,0,10y0d,99,0,0,0,0  ,0.01,-0.02,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,19,19,0,10y0d,99,0,14,0,14  ,-0.03,-0.06,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,19,19,0,10y0d,99,0,0,0,0  
02/27,11,0.04,0.02,0.0,26.8,0.0,7.8,0.0,66.5,0,54,0.0,0.5,0.0,0.0,30,30,0,10y0d,99,0,0,13,4  ,0.11,0.13,0.0,56.9,0.0,15.7,0.0,66.5,0,51,0.0,0.6,0.0,0.0,30,30,0,10y0d,99,0,16,19,23  ,0.17,0.06,0.0,49.8,0.0,13.5,0.0,66.5,0,40,0.0,0.5,0.0,0.0,31,31,0,10y0d,99,0,26,26,28  ,0.00,0.02,0.0,23.5,0.0,6.1,0.0,66.5,0,56,0.0,0.1,0.0,0.0,31,31,0,10y0d,99,0,0,10,3  ,0.02,0.00,0.0,29.8,0.0,8.4,0.0,66.5,0,59,0.0,0.1,0.0,0.0,32,32,0,10y0d,99,0,14,13,18  ,-0.01,-0.05,0.0,22.3,0.0,6.3,0.0,66.5,0,48,0.0,0.1,0.0,0.0,32,32,0,10y0d,99,0,0,7,4  
03/08,16,0.02,0.00,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,0,0,0  ,0.09,0.13,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,22,0,22  ,0.15,0.04,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,26,0,26  ,-0.01,0.01,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,4,0,4  ,0.01,0.00,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,12,0,13  ,-0.02,-0.04,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,0,0,0  
03/11,16,0.02,0.00,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,0,0,0  ,0.11,0.11,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,22,0,22  ,0.11,0.02,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,29,0,29  ,-0.01,0.01,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,0,0,0  ,0.01,-0.01,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,14,0,14  ,-0.02,-0.04,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,23,23,0,10y0d,99,0,0,0,0  
03/15,11,0.00,-0.04,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,0,0,0  ,0.09,0.09,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,18,0,18  ,0.11,0.02,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,35,0,35  ,-0.01,0.00,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,2,0,2  ,0.01,-0.01,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,0,0,0  ,-0.02,-0.06,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,1,0,1  
04/19,11,-0.02,-0.04,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,0,0,0  ,0.07,0.11,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,11,0,11  ,0.13,0.04,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,26,0,26  ,-0.01,-0.01,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,0,0,0  ,0.01,0.00,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,14,0,14  ,-0.02,-0.06,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,0,0,0  
04/19,11,-0.04,-0.04,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,0,0,0  ,0.09,0.11,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,11,0,11  ,0.11,0.04,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,26,0,26  ,-0.01,0.00,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,0,0,0  ,0.01,-0.01,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,14,0,14  ,-0.02,-0.06,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,0,0,0  
04/24,16,0.02,-0.02,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,0,0,0  ,0.11,0.11,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,18,0,18  ,0.13,0.04,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,33,0,33  ,-0.01,0.01,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,3,0,3  ,0.01,0.01,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,13,0,13  ,-0.02,-0.06,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,0,0,0  
04/30,11,0.00,-0.04,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,0,0,0  ,0.07,0.11,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,26,0,26  ,0.09,0.00,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,23,0,23  ,-0.01,0.00,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,20,20,0,10y0d,99,0,1,0,1  ,0.01,-0.01,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,14,0,14  ,-0.02,-0.06,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,0,0,0  
